DP_NAME,DP_PORT,DP_PORT_SSL,DP_PUBLIC_PATH,PHP_IMAGE,NODEJS_IMAGE,INFO_SERVER_PATH,INFO_GITLAB,INFO_ADMIN_PANEL,INFO_COMMENT
test,99,80,public,php:8.1-apache,16,,,,
bitza-auto,1,80,.,wordpress:php7.3-apache,16,/var/www/bitza-auto/data/www/bitza-auto.ru,https://gitlab.com/eabest2020/bitza-auto,/wp-login.php,WP
medknizhky,2,80,.,wordpress:php7.3-apache,16,/var/www/medknizhky/data/www/medknizhky.ru,https://gitlab.com/eabest2020/medknizhky,/wp-admin/,WP
spravkyfront,3,80,.,php:7.2-apache,11,/pub/home/andelc256/spravky,https://gitlab.com/eabest2020/spravkyfront,https://cp.spravky.ru/login/,CodeIgniter
spravkyback,4,80,cp/www,php:7.2-apache,11,/pub/home/andelc256/cp.spravky.ru,https://gitlab.com/eabest2020/spravkyback,https://cp.spravky.ru/,Yii1
autoonline,5,80,public,php:5.6-apache,11,/var/www/autoonline/data/www/auto-online.ru,https://gitlab.com/eabest2020/autoonline,https://auto-online.ru/auth/login,Laravel
ds-union,6,80,.,wordpress:php7.3-apache,16,/var/www/ds-union/data/www/ds-union.ru,https://gitlab.com/eabest2020/ds-union,/kitchen,WP
express-prava,7,80,public,php:7.3-apache,12,/var/www/express-prava/data/www/express-prava.ru,https://gitlab.com/eabest2020/express-prava,https://express-prava.ru/administrator,Laravel
intertrade-msk,8,80,.,wordpress:php7.3-apache,16,,,https://intertrade-msk.ru/wp-admin,WP
yaprava,9,80,frontend/www,php:5.6-apache,11,/var/www/yaprava/data/www/ya-prava.ru/,https://gitlab.com/auto-online/yaprava,,Yii1
yapravaback,10,80,backend/www,php:5.6-apache,11,/var/www/yaprava/data/www/ya-prava.ru/,https://gitlab.com/auto-online/yaprava,,Yii1
